CIF,Compound,A,B,Sto_A,Sto_B,A_atomicweight,A_atomicnumber,A_period,A_group,A_mendeleev,A_valence,A_gilman,A_zeff,A_ie,A_paulingrad,A_paulingen,A_martynoven,A_mp,A_density,A_specificheat,A_cohesive,A_bulkmod,A_abundance,A_abundancesolar,A_hhiprod,A_hhires,A_cost,B_atomicweight,B_atomicnumber,B_period,B_group,B_mendeleev,B_valence,B_gilman,B_zeff,B_ie,B_paulingrad,B_paulingen,B_martynoven,B_mp,B_density,B_specificheat,B_cohesive,B_bulkmod,B_abundance,B_abundancesolar,B_hhiprod,B_hhires,B_cost,molar_mass,AB_diffmendeleev,AB_sumzeff,max_zeff,min_zeff,avg_zeff,AB_diffpaulingrad,AB_diffmartynoven,max_martynoven,min_martynoven,avg_martynoven,AB_diffdensity,max_density,min_density,avg_density,AB_diffcohesive,max_cohesive,min_cohesive,avg_cohesive
250977,ErNi3,Er,Ni,1.0,3.0,167.259,68,6,3,35,14,3,4.018,6.108,1.748,1.24,1.2,1802.15,9.07,0.17,3.29,44.4,0.0,0.0,9476.0,3129.0,270.0,58.693,28,4,10,61,10,3,2.996,7.64,1.244,1.91,1.76,1726.15,8.9,0.44,4.44,177.0,0.0,0.0,988.0,1479.0,7.7,343.339,26,7.014,4.018,2.996,3.252,0.504,0.56,1.76,1.2,1.62,0.17,9.07,8.9,8.942,1.15,4.44,3.29,4.152
250476,EuPb3,Eu,Pb,1.0,3.0,151.965,63,6,3,25,9,3,3.871,5.67,2.084,1.2,1.15,1095.15,5.24,0.18,1.86,14.7,0.0,0.0,9476.0,3129.0,3600.0,207.2,82,6,14,81,28,4,4.426,7.417,1.746,1.87,1.92,600.65,11.4,0.13,2.03,45.8,0.0,0.0,2716.0,1781.0,1.5,773.565,56,8.297,4.426,3.871,4.287,0.338,0.77,1.92,1.15,1.728,6.16,11.4,5.24,9.86,0.17,2.03,1.86,1.988
250804,La0.75Pt2.25,La,Pt,0.75,2.25,138.906,57,6,3,13,3,1,3.84,5.577,1.871,1.1,1.35,1193.15,6.15,0.19,4.47,27.9,0.0,0.0,9476.0,3129.0,64.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,543.118,50,8.723,4.883,3.84,4.622,0.486,0.56,1.91,1.35,1.77,15.25,21.4,6.15,17.588,1.37,5.84,4.47,5.498
250191,Mo3Pt,Mo,Pt,3.0,1.0,95.95,42,5,6,50,6,4,3.609,7.092,1.386,2.16,1.94,2890.15,10.2,0.25,6.82,261.0,0.0,0.0,2410.0,5260.0,11.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,482.934,13,8.492,4.883,3.609,3.928,0.001,0.03,1.94,1.91,1.932,11.2,21.4,10.2,13.0,0.98,6.82,5.84,6.575
250966,Pd3.25In9.75,Pd,In,3.25,9.75,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,1465.34,13,6.36,3.259,3.101,3.219,0.287,0.45,2.08,1.63,1.742,4.69,12.0,7.31,8.482,1.37,3.89,2.52,2.862
250368,EuSn3,Eu,Sn,1.0,3.0,151.965,63,6,3,25,9,3,3.871,5.67,2.084,1.2,1.15,1095.15,5.24,0.18,1.86,14.7,0.0,0.0,9476.0,3129.0,3600.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,508.095,55,7.543,3.871,3.672,3.722,0.464,0.73,1.88,1.15,1.697,2.07,7.31,5.24,6.792,1.28,3.14,1.86,2.82
250367,SmSn3,Sm,Sn,1.0,3.0,150.36,62,6,3,23,8,3,3.847,5.644,1.85,1.17,1.2,1347.15,7.52,0.2,2.14,37.8,0.0,0.0,9476.0,3129.0,130.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,506.49,57,7.519,3.847,3.672,3.716,0.23,0.68,1.88,1.2,1.71,0.21,7.52,7.31,7.362,1.0,3.14,2.14,2.89
250931,YbPd3,Yb,Pd,1.0,3.0,173.045,70,6,3,39,16,3,4.048,6.254,1.933,1.1,1.1,1092.15,6.97,0.15,1.6,30.5,0.0,0.0,9476.0,3129.0,530.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,492.305,23,7.149,4.048,3.101,3.338,0.56,0.98,2.08,1.1,1.835,5.03,12.0,6.97,10.742,2.29,3.89,1.6,3.318
250562,WRh3,W,Rh,1.0,3.0,183.84,74,6,6,51,20,4,4.593,7.864,1.394,2.36,1.79,3683.15,19.3,0.13,8.9,311.0,0.0,0.0,6981.0,4297.0,11.0,102.906,45,5,9,59,9,4,3.701,7.459,1.342,2.28,1.99,2239.15,12.4,0.242,5.75,276.0,0.0,0.0,3239.0,8000.0,13000.0,492.556,8,8.294,4.593,3.701,3.924,0.052,0.2,1.99,1.79,1.94,6.9,19.3,12.4,14.125,3.15,8.9,5.75,6.538
250461,GdCo3,Gd,Co,1.0,3.0,157.25,64,6,3,27,10,3,4.034,6.15,1.795,1.2,1.1,1586.15,7.9,0.23,4.14,37.9,0.0,0.0,9476.0,3129.0,191.0,58.933,27,4,9,58,9,4,3.046,7.881,1.252,1.88,1.72,1768.15,8.9,0.42,4.39,182.0,0.0,0.0,3052.0,2655.0,21.0,334.05,31,7.08,4.034,3.046,3.293,0.543,0.62,1.72,1.1,1.565,1.0,8.9,7.9,8.65,0.25,4.39,4.14,4.328
250742,V3Ir,V,Ir,3.0,1.0,50.942,23,4,5,46,5,3,2.816,6.746,1.338,1.63,2.22,2163.15,6.11,0.49,5.31,158.0,0.0,0.0,3266.0,3397.0,220.0,192.217,77,6,9,60,23,4,4.908,8.967,1.355,2.2,1.87,2683.15,22.4,0.13,6.94,371.0,0.0,0.0,5504.0,9087.0,4200.0,345.042,14,7.724,4.908,2.816,3.339,0.017,0.35,2.22,1.87,2.133,16.29,22.4,6.11,10.183,1.63,6.94,5.31,5.718
250910,Pr0.25Tb0.75,Pr,Tb,0.25,0.75,140.908,59,6,3,17,5,3,3.8,5.473,1.824,1.13,1.1,1204.15,6.77,0.19,3.7,28.8,0.0,0.0,9476.0,3129.0,170.0,158.925,65,6,3,29,11,3,3.976,5.864,1.773,1.2,1.2,1638.15,8.23,0.18,4.05,38.7,0.0,0.0,9476.0,3129.0,1800.0,154.421,12,7.776,3.976,3.8,3.932,0.051,0.1,1.2,1.1,1.175,1.46,8.23,6.77,7.865,0.35,4.05,3.7,3.962
250381,HoIn3,Ho,In,1.0,3.0,164.93,67,6,3,33,13,3,3.994,6.022,1.761,1.23,1.2,1747.15,8.8,0.16,3.14,40.2,0.0,0.0,9476.0,3129.0,740.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,509.384,42,7.253,3.994,3.259,3.443,0.101,0.43,1.63,1.2,1.522,1.49,8.8,7.31,7.682,0.62,3.14,2.52,2.675
250377,SmIn3,Sm,In,1.0,3.0,150.36,62,6,3,23,8,3,3.847,5.644,1.85,1.17,1.2,1347.15,7.52,0.2,2.14,37.8,0.0,0.0,9476.0,3129.0,130.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,494.814,52,7.106,3.847,3.259,3.406,0.19,0.43,1.63,1.2,1.522,0.21,7.52,7.31,7.362,0.38,2.52,2.14,2.425
250384,YbIn3,Yb,In,1.0,3.0,173.045,70,6,3,39,16,3,4.048,6.254,1.933,1.1,1.1,1092.15,6.97,0.15,1.6,30.5,0.0,0.0,9476.0,3129.0,530.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,517.499,36,7.307,4.048,3.259,3.456,0.273,0.53,1.63,1.1,1.498,0.34,7.31,6.97,7.225,0.92,2.52,1.6,2.29
250505,PrAl3,Pr,Al,1.0,3.0,140.908,59,6,3,17,5,3,3.8,5.473,1.824,1.13,1.1,1204.15,6.77,0.19,3.7,28.8,0.0,0.0,9476.0,3129.0,170.0,26.982,13,3,13,73,3,3,1.989,5.986,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2,0.084,0.0,1569.0,1000.0,1.8,221.852,56,5.789,3.8,1.989,2.442,0.395,0.54,1.64,1.1,1.505,4.07,6.77,2.7,3.718,0.31,3.7,3.39,3.468
250338,ErPd3,Er,Pd,1.0,3.0,167.259,68,6,3,35,14,3,4.018,6.108,1.748,1.24,1.2,1802.15,9.07,0.17,3.29,44.4,0.0,0.0,9476.0,3129.0,270.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,486.519,27,7.119,4.018,3.101,3.33,0.375,0.88,2.08,1.2,1.86,2.93,12.0,9.07,11.268,0.6,3.89,3.29,3.74
250807,Eu0.75Pt2.25,Eu,Pt,0.75,2.25,151.965,63,6,3,25,9,3,3.871,5.67,2.084,1.2,1.15,1095.15,5.24,0.18,1.86,14.7,0.0,0.0,9476.0,3129.0,3600.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,552.913,38,8.754,4.883,3.871,4.63,0.699,0.76,1.91,1.15,1.72,16.16,21.4,5.24,17.36,3.98,5.84,1.86,4.845
250808,Gd0.75Pt2.25,Gd,Pt,0.75,2.25,157.25,64,6,3,27,10,3,4.034,6.15,1.795,1.2,1.1,1586.15,7.9,0.23,4.14,37.9,0.0,0.0,9476.0,3129.0,191.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,556.877,36,8.917,4.883,4.034,4.671,0.41,0.81,1.91,1.1,1.707,13.5,21.4,7.9,18.025,1.7,5.84,4.14,5.415
250365,PrSn3,Pr,Sn,1.0,3.0,140.908,59,6,3,17,5,3,3.8,5.473,1.824,1.13,1.1,1204.15,6.77,0.19,3.7,28.8,0.0,0.0,9476.0,3129.0,170.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,497.038,63,7.472,3.8,3.672,3.704,0.204,0.78,1.88,1.1,1.685,0.54,7.31,6.77,7.175,0.56,3.7,3.14,3.28
250364,CeSn3,Ce,Sn,1.0,3.0,140.115,58,6,3,15,4,3,3.774,5.539,1.818,1.12,1.1,1071.15,6.66,0.19,4.32,21.5,0.0,0.0,9476.0,3129.0,57.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,496.245,65,7.446,3.774,3.672,3.698,0.198,0.78,1.88,1.1,1.685,0.65,7.31,6.66,7.148,1.18,4.32,3.14,3.435
250809,DyPt3,Dy,Pt,1.0,3.0,162.5,66,6,3,31,12,3,3.963,5.939,1.77,1.22,1.15,1685.15,8.55,0.17,3.04,40.5,0.0,0.0,9476.0,3129.0,210.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,747.752,32,8.846,4.883,3.963,4.653,0.385,0.76,1.91,1.15,1.72,12.85,21.4,8.55,18.187,2.8,5.84,3.04,5.14
250507,LaAl3,La,Al,1.0,3.0,138.906,57,6,3,13,3,1,3.84,5.577,1.871,1.1,1.35,1193.15,6.15,0.19,4.47,27.9,0.0,0.0,9476.0,3129.0,64.0,26.982,13,3,13,73,3,3,1.989,5.986,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2,0.084,0.0,1569.0,1000.0,1.8,219.85,60,5.829,3.84,1.989,2.452,0.442,0.29,1.64,1.35,1.568,3.45,6.15,2.7,3.563,1.08,4.47,3.39,3.66
250363,LaSn3,La,Sn,1.0,3.0,138.906,57,6,3,13,3,1,3.84,5.577,1.871,1.1,1.35,1193.15,6.15,0.19,4.47,27.9,0.0,0.0,9476.0,3129.0,64.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,495.035,67,7.512,3.84,3.672,3.714,0.251,0.53,1.88,1.35,1.748,1.16,7.31,6.15,7.02,1.33,4.47,3.14,3.472
250963,Pt3In,Pt,In,3.0,1.0,195.084,78,6,10,63,24,3,4.883,8.959,1.385,2.28,1.91,2045.15,21.4,0.13,5.84,276.0,0.0,0.0,5504.0,9087.0,4700.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,700.07,12,8.142,4.883,3.259,4.477,0.275,0.28,1.91,1.63,1.84,14.09,21.4,7.31,17.877,3.32,5.84,2.52,5.01
250504,NdAl3,Nd,Al,1.0,3.0,144.242,60,6,3,19,6,3,3.822,5.525,1.818,1.14,1.2,1289.15,7.0,0.19,3.4,31.8,0.0,0.0,9476.0,3129.0,110.0,26.982,13,3,13,73,3,3,1.989,5.986,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2,0.084,0.0,1569.0,1000.0,1.8,225.187,54,5.811,3.822,1.989,2.447,0.389,0.44,1.64,1.2,1.53,4.3,7.0,2.7,3.775,0.01,3.4,3.39,3.392
250737,TaNi3,Ta,Ni,1.0,3.0,180.948,73,6,5,48,19,3,4.593,7.55,1.457,1.5,1.94,3269.15,16.6,0.14,8.1,196.0,0.0,0.0,2252.0,4811.0,120.0,58.693,28,4,10,61,10,3,2.996,7.64,1.244,1.91,1.76,1726.15,8.9,0.44,4.44,177.0,0.0,0.0,988.0,1479.0,7.7,357.028,13,7.589,4.593,2.996,3.395,0.213,0.18,1.94,1.76,1.805,7.7,16.6,8.9,10.825,3.66,8.1,4.44,5.355
250333,EuPd3,Eu,Pd,1.0,3.0,151.965,63,6,3,25,9,3,3.871,5.67,2.084,1.2,1.15,1095.15,5.24,0.18,1.86,14.7,0.0,0.0,9476.0,3129.0,3600.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,471.225,37,6.972,3.871,3.101,3.294,0.711,0.93,2.08,1.15,1.848,6.76,12.0,5.24,10.31,2.03,3.89,1.86,3.382
250370,YbSn3,Yb,Sn,1.0,3.0,173.045,70,6,3,39,16,3,4.048,6.254,1.933,1.1,1.1,1092.15,6.97,0.15,1.6,30.5,0.0,0.0,9476.0,3129.0,530.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,529.175,41,7.72,4.048,3.672,3.766,0.313,0.78,1.88,1.1,1.685,0.34,7.31,6.97,7.225,1.54,3.14,1.6,2.755
250717,TbAl3,Tb,Al,1.0,3.0,158.925,65,6,3,29,11,3,3.976,5.864,1.773,1.2,1.2,1638.15,8.23,0.18,4.05,38.7,0.0,0.0,9476.0,3129.0,1800.0,26.982,13,3,13,73,3,3,1.989,5.986,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2,0.084,0.0,1569.0,1000.0,1.8,239.87,44,5.965,3.976,1.989,2.486,0.344,0.44,1.64,1.2,1.53,5.53,8.23,2.7,4.083,0.66,4.05,3.39,3.555
250765,SmCo3,Sm,Co,1.0,3.0,150.36,62,6,3,23,8,3,3.847,5.644,1.85,1.17,1.2,1347.15,7.52,0.2,2.14,37.8,0.0,0.0,9476.0,3129.0,130.0,58.933,27,4,9,58,9,4,3.046,7.881,1.252,1.88,1.72,1768.15,8.9,0.42,4.39,182.0,0.0,0.0,3052.0,2655.0,21.0,327.16,35,6.893,3.847,3.046,3.246,0.598,0.52,1.72,1.2,1.59,1.38,8.9,7.52,8.555,2.25,4.39,2.14,3.827
250462,GdNi3,Gd,Ni,1.0,3.0,157.25,64,6,3,27,10,3,4.034,6.15,1.795,1.2,1.1,1586.15,7.9,0.23,4.14,37.9,0.0,0.0,9476.0,3129.0,191.0,58.693,28,4,10,61,10,3,2.996,7.64,1.244,1.91,1.76,1726.15,8.9,0.44,4.44,177.0,0.0,0.0,988.0,1479.0,7.7,333.33,34,7.03,4.034,2.996,3.255,0.551,0.66,1.76,1.1,1.595,1.0,8.9,7.9,8.65,0.3,4.44,4.14,4.365
250735,NbNi3,Nb,Ni,1.0,3.0,92.906,41,5,5,47,5,3,3.523,6.759,1.456,1.6,2.03,2741.15,8.57,0.26,7.57,170.0,0.0,0.0,8525.0,8792.0,18.0,58.693,28,4,10,61,10,3,2.996,7.64,1.244,1.91,1.76,1726.15,8.9,0.44,4.44,177.0,0.0,0.0,988.0,1479.0,7.7,268.987,14,6.519,3.523,2.996,3.128,0.212,0.27,2.03,1.76,1.828,0.33,8.9,8.57,8.818,3.13,7.57,4.44,5.222
250469,YbIn3,Yb,In,1.0,3.0,173.045,70,6,3,39,16,3,4.048,6.254,1.933,1.1,1.1,1092.15,6.97,0.15,1.6,30.5,0.0,0.0,9476.0,3129.0,530.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,517.499,36,7.307,4.048,3.259,3.456,0.273,0.53,1.63,1.1,1.498,0.34,7.31,6.97,7.225,0.92,2.52,1.6,2.29
250329,CePd3,Ce,Pd,1.0,3.0,140.115,58,6,3,15,4,3,3.774,5.539,1.818,1.12,1.1,1071.15,6.66,0.19,4.32,21.5,0.0,0.0,9476.0,3129.0,57.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,459.375,47,6.875,3.774,3.101,3.269,0.445,0.98,2.08,1.1,1.835,5.34,12.0,6.66,10.665,0.43,4.32,3.89,3.998
250893,PrPd3,Pr,Pd,1.0,3.0,140.908,59,6,3,17,5,3,3.8,5.473,1.824,1.13,1.1,1204.15,6.77,0.19,3.7,28.8,0.0,0.0,9476.0,3129.0,170.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,460.168,45,6.901,3.8,3.101,3.276,0.451,0.98,2.08,1.1,1.835,5.23,12.0,6.77,10.692,0.19,3.89,3.7,3.843
250330,PrPd3,Pr,Pd,1.0,3.0,140.908,59,6,3,17,5,3,3.8,5.473,1.824,1.13,1.1,1204.15,6.77,0.19,3.7,28.8,0.0,0.0,9476.0,3129.0,170.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,460.168,45,6.901,3.8,3.101,3.276,0.451,0.98,2.08,1.1,1.835,5.23,12.0,6.77,10.692,0.19,3.89,3.7,3.843
250679,EuPb3,Eu,Pb,1.0,3.0,151.965,63,6,3,25,9,3,3.871,5.67,2.084,1.2,1.15,1095.15,5.24,0.18,1.86,14.7,0.0,0.0,9476.0,3129.0,3600.0,207.2,82,6,14,81,28,4,4.426,7.417,1.746,1.87,1.92,600.65,11.4,0.13,2.03,45.8,0.0,0.0,2716.0,1781.0,1.5,773.565,56,8.297,4.426,3.871,4.287,0.338,0.77,1.92,1.15,1.728,6.16,11.4,5.24,9.86,0.17,2.03,1.86,1.988
250753,Au3Ho,Ho,Au,1.0,3.0,164.93,67,6,3,33,13,3,3.994,6.022,1.761,1.23,1.2,1747.15,8.8,0.16,3.14,40.2,0.0,0.0,9476.0,3129.0,740.0,196.967,79,6,11,66,25,2,4.938,9.226,1.439,2.54,1.19,1337.15,19.3,0.128,3.81,171.0,0.0,0.0,1119.0,1040.0,4400.0,755.83,33,8.932,4.938,3.994,4.702,0.322,0.01,1.2,1.19,1.192,10.5,19.3,8.8,16.675,0.67,3.81,3.14,3.642
