n,theta,r,t,toughness
6,0,1.5,0.7,1.14466667
6,0,1.5,1.05,1.60756105
6,0,1.5,1.4,1.144337785
6,0,1.7,0.7,3.64273758
6,0,1.7,1.05,3.748405035
6,0,1.7,1.4,2.661723075
6,0,1.9,0.7,5.62889179
6,0,1.9,1.05,6.545940435
6,0,1.9,1.4,5.13711498
6,0,2.1,0.7,6.113001335
6,0,2.1,1.05,7.63448638
6,0,2.1,1.4,2.06551135
6,0,2.3,0.7,22.63629481
6,0,2.3,1.05,11.98794863
6,0,2.3,1.4,2.18745377
6,0,2.5,0.7,27.27353061
6,0,2.5,1.05,27.71493771
6,0,2.5,1.4,1.724510655
6,25,1.6,0.7,1.321202445
6,25,1.6,1.05,1.901228995
6,25,1.6,1.4,1.464165225
6,25,1.8,0.7,2.77622403
6,25,1.8,1.05,2.725128695
6,25,1.8,1.4,3.181724645
6,25,2,0.7,4.561826505
6,25,2,1.05,4.80682388
6,25,2,1.4,5.21743359
6,25,2.2,0.7,5.9481448
6,25,2.2,1.05,10.57081004
6,25,2.2,1.4,7.91761853
6,25,2.4,0.7,9.40534553
6,25,2.4,1.05,25.05585347
6,25,2.4,1.4,2.401968915
6,50,1.5,0.7,0.911408525
6,50,1.5,1.05,0.80713156
6,50,1.5,1.4,0.600585055
6,50,1.7,0.7,1.280064085
6,50,1.7,1.05,1.856575375
6,50,1.7,1.4,1.22887476
6,50,1.9,0.7,1.670555225
6,50,1.9,1.05,1.733336745
6,50,1.9,1.4,3.17129197
6,50,2.1,0.7,16.00978343
6,50,2.1,1.05,4.159978755
6,50,2.1,1.4,4.324624925
6,50,2.3,0.7,3.208368345
6,50,2.3,1.05,8.36155203
6,50,2.3,1.4,10.26593447
6,50,2.5,0.7,6.389414035
6,50,2.5,1.05,23.65177359
6,50,2.5,1.4,8.263866695
6,75,1.6,0.7,0.56218211
6,75,1.6,1.05,0.62222879
6,75,1.6,1.4,1.129298705
6,75,1.8,0.7,0.49796538
6,75,1.8,1.05,0.955209465
6,75,1.8,1.4,1.307267365
6,75,2,0.7,0.70437207
6,75,2,1.05,1.844288285
6,75,2,1.4,14.5440842
6,75,2.2,0.7,2.28417177
6,75,2.2,1.05,13.167347
6,75,2.2,1.4,1.245206375
6,75,2.4,0.7,2.414646575
6,75,2.4,1.05,4.68270893
6,75,2.4,1.4,17.76211779
6,100,1.5,0.7,1.761419435
6,100,1.5,1.05,2.038989845
6,100,1.5,1.4,1.74145084
6,100,1.7,0.7,2.42913609
6,100,1.7,1.05,2.639451635
6,100,1.7,1.4,1.83067924
6,100,1.9,0.7,2.248745235
6,100,1.9,1.05,1.874484205
6,100,1.9,1.4,13.84331533
6,100,2.1,0.7,16.77800679
6,100,2.1,1.05,14.0173637
6,100,2.1,1.4,13.71482183
6,100,2.3,0.7,19.72634797
6,100,2.3,1.05,18.3145061
6,100,2.3,1.4,17.49456493
6,100,2.5,0.7,20.8723812
6,100,2.5,1.05,19.19430635
6,100,2.5,1.4,23.2304953
6,125,1.6,0.7,1.4166949
6,125,1.6,1.05,1.25473141
6,125,1.6,1.4,1.077183595
6,125,1.8,0.7,0.92180845
6,125,1.8,1.05,19.82673045
6,125,1.8,1.4,13.35430999
6,125,2,0.7,0.93520637
6,125,2,1.05,17.48321147
6,125,2,1.4,18.91401758
6,125,2.2,0.7,16.74357002
6,125,2.2,1.05,14.11770208
6,125,2.2,1.4,20.73650342
6,125,2.4,0.7,24.20558826
6,125,2.4,1.05,18.50428299
6,125,2.4,1.4,11.64011261
6,150,1.5,0.7,0.9721676
6,150,1.5,1.05,0.73339565
6,150,1.5,1.4,1.241250395
6,150,1.7,0.7,13.11436394
6,150,1.7,1.05,1.247425855
6,150,1.7,1.4,16.19996728
6,150,1.9,0.7,1.27661952
6,150,1.9,1.05,15.55778051
6,150,1.9,1.4,19.00199987
6,150,2.1,0.7,16.41042719
6,150,2.1,1.05,18.51288508
6,150,2.1,1.4,17.18467533
6,150,2.3,0.7,18.49939449
6,150,2.3,1.05,19.91431001
6,150,2.3,1.4,18.03172451
6,150,2.5,0.7,20.95858163
6,150,2.5,1.05,18.51341047
6,150,2.5,1.4,20.43322464
6,175,1.6,0.7,14.9117021
6,175,1.6,1.05,20.1909625
6,175,1.6,1.4,16.86847969
6,175,1.8,0.7,16.25303968
6,175,1.8,1.05,18.12488509
6,175,1.8,1.4,20.35152813
6,175,2,0.7,18.03436356
6,175,2,1.05,17.5264161
6,175,2,1.4,18.38228342
6,175,2.2,0.7,21.11426736
6,175,2.2,1.05,19.70686035
6,175,2.2,1.4,13.48899982
6,175,2.4,0.7,22.93310771
6,175,2.4,1.05,16.38889589
6,175,2.4,1.4,14.4047196
6,200,1.5,0.7,14.96221898
6,200,1.5,1.05,14.65657727
6,200,1.5,1.4,20.22036666
6,200,1.7,0.7,16.78959272
6,200,1.7,1.05,25.21025957
6,200,1.7,1.4,19.40045977
6,200,1.9,0.7,17.83614353
6,200,1.9,1.05,24.39245006
6,200,1.9,1.4,23.56283371
6,200,2.1,0.7,21.86809238
6,200,2.1,1.05,20.21042247
6,200,2.1,1.4,20.31956724
6,200,2.3,0.7,24.84958171
6,200,2.3,1.05,21.80051696
6,200,2.3,1.4,19.66597793
6,200,2.5,0.7,25.99898896
6,200,2.5,1.05,22.06231878
6,200,2.5,1.4,21.03835901
8,0,1.5,0.7,2.166798125
8,0,1.5,1.05,1.994880795
8,0,1.5,1.4,1.991507755
8,0,1.7,0.7,2.413471505
8,0,1.7,1.05,4.139476235
8,0,1.7,1.4,2.899414305
8,0,1.9,0.7,5.52009985
8,0,1.9,1.05,7.354356745
8,0,1.9,1.4,5.33195838
8,0,2.1,0.7,19.99789002
8,0,2.1,1.05,8.488290225
8,0,2.1,1.4,1.915515405
8,0,2.3,0.7,25.3582639
8,0,2.3,1.05,2.185516945
8,0,2.3,1.4,1.437887965
8,0,2.5,0.7,31.09783404
8,0,2.5,1.05,1.890725635
8,0,2.5,1.4,1.379164485
8,25,1.6,0.7,6.022568495
8,25,1.6,1.05,5.899901415
8,25,1.6,1.4,5.25760901
8,25,1.8,0.7,5.487119255
8,25,1.8,1.05,9.138851555
8,25,1.8,1.4,12.00985826
8,25,2,0.7,9.76006525
8,25,2,1.05,10.70192285
8,25,2,1.4,14.18665702
8,25,2.2,0.7,13.1504635
8,25,2.2,1.05,16.83781416
8,25,2.2,1.4,19.7309444
8,25,2.4,0.7,22.05845141
8,25,2.4,1.05,27.7911449
8,25,2.4,1.4,1.651555005
8,50,1.5,0.7,0.606925755
8,50,1.5,1.05,0.967633045
8,50,1.5,1.4,1.01771189
8,50,1.7,0.7,1.83865145
8,50,1.7,1.05,1.946333395
8,50,1.7,1.4,1.256027065
8,50,1.9,0.7,2.446088645
8,50,1.9,1.05,1.75677089
8,50,1.9,1.4,2.89525274
8,50,2.1,0.7,4.16988717
8,50,2.1,1.05,3.47753655
8,50,2.1,1.4,4.749716225
8,50,2.3,0.7,6.054145875
8,50,2.3,1.05,5.279049785
8,50,2.3,1.4,9.993393195
8,50,2.5,0.7,7.144120635
8,50,2.5,1.05,23.23553062
8,50,2.5,1.4,1.789061775
8,75,1.6,0.7,2.301961535
8,75,1.6,1.05,2.517171365
8,75,1.6,1.4,1.897846855
8,75,1.8,0.7,3.146094015
8,75,1.8,1.05,12.57974175
8,75,1.8,1.4,4.87327289
8,75,2,0.7,5.749459945
8,75,2,1.05,3.877424105
8,75,2,1.4,12.78541704
8,75,2.2,0.7,20.21204998
8,75,2.2,1.05,20.51460132
8,75,2.2,1.4,17.76513275
8,75,2.4,0.7,24.44423375
8,75,2.4,1.05,26.61614424
8,75,2.4,1.4,32.61966052
8,100,1.5,0.7,0.758866325
8,100,1.5,1.05,1.47033628
8,100,1.5,1.4,1.371727985
8,100,1.7,0.7,1.66019497
8,100,1.7,1.05,1.94218581
8,100,1.7,1.4,2.526298485
8,100,1.9,0.7,18.46355991
8,100,1.9,1.05,19.95083256
8,100,1.9,1.4,15.28451124
8,100,2.1,0.7,24.44324883
8,100,2.1,1.05,26.5761516
8,100,2.1,1.4,15.81249026
8,100,2.3,0.7,26.55366339
8,100,2.3,1.05,31.76165247
8,100,2.3,1.4,24.51326645
8,100,2.5,0.7,33.05713503
8,100,2.5,1.05,39.22260624
8,100,2.5,1.4,33.98515161
8,125,1.6,0.7,1.46008469
8,125,1.6,1.05,16.95513861
8,125,1.6,1.4,16.54564365
8,125,1.8,0.7,16.49016369
8,125,1.8,1.05,17.97152167
8,125,1.8,1.4,17.14974079
8,125,2,0.7,20.02394696
8,125,2,1.05,21.33621444
8,125,2,1.4,16.41212001
8,125,2.2,0.7,21.7261251
8,125,2.2,1.05,24.28895599
8,125,2.2,1.4,19.99643012
8,125,2.4,0.7,26.74357163
8,125,2.4,1.05,23.40047254
8,125,2.4,1.4,22.66353705
8,150,1.5,0.7,15.76503932
8,150,1.5,1.05,14.71129282
8,150,1.5,1.4,16.81053048
8,150,1.7,0.7,18.38869488
8,150,1.7,1.05,16.23362792
8,150,1.7,1.4,25.59678803
8,150,1.9,0.7,25.06795204
8,150,1.9,1.05,26.46985809
8,150,1.9,1.4,21.43531816
8,150,2.1,0.7,23.84790793
8,150,2.1,1.05,25.75089201
8,150,2.1,1.4,29.20332858
8,150,2.3,0.7,30.2897043
8,150,2.3,1.05,27.00954622
8,150,2.3,1.4,26.35897031
8,150,2.5,0.7,33.28026619
8,150,2.5,1.05,27.0706717
8,150,2.5,1.4,22.86899577
8,175,1.6,0.7,14.02868913
8,175,1.6,1.05,20.02470101
8,175,1.6,1.4,18.21306351
8,175,1.8,0.7,17.80463232
8,175,1.8,1.05,22.26115859
8,175,1.8,1.4,17.92242904
8,175,2,0.7,20.52712839
8,175,2,1.05,26.43476973
8,175,2,1.4,30.62884765
8,175,2.2,0.7,23.87569613
8,175,2.2,1.05,27.13847058
8,175,2.2,1.4,21.95018747
8,175,2.4,0.7,24.93067951
8,175,2.4,1.05,26.48945395
8,175,2.4,1.4,19.63858649
8,200,1.5,0.7,18.25283987
8,200,1.5,1.05,13.14853798
8,200,1.5,1.4,16.80890649
8,200,1.7,0.7,21.76204542
8,200,1.7,1.05,19.95473314
8,200,1.7,1.4,28.41190008
8,200,1.9,0.7,23.99916942
8,200,1.9,1.05,22.51447703
8,200,1.9,1.4,22.81980479
8,200,2.1,0.7,26.42427769
8,200,2.1,1.05,23.00800265
8,200,2.1,1.4,20.86879417
8,200,2.3,0.7,29.49732455
8,200,2.3,1.05,23.05055265
8,200,2.3,1.4,19.78231941
8,200,2.5,0.7,31.08251055
8,200,2.5,1.05,21.36694488
8,200,2.5,1.4,2.45140065
10,0,1.5,0.7,2.37024162
10,0,1.5,1.05,2.465344685
10,0,1.5,1.4,1.902319725
10,0,1.7,0.7,15.43857988
10,0,1.7,1.05,5.526309155
10,0,1.7,1.4,1.8278817
10,0,1.9,0.7,20.12095256
10,0,1.9,1.05,1.909063605
10,0,1.9,1.4,1.835869325
10,0,2.1,0.7,10.91442134
10,0,2.1,1.05,1.472520425
10,0,2.1,1.4,1.497575625
10,0,2.3,0.7,37.2159395
10,0,2.3,1.05,1.447227795
10,0,2.3,1.4,1.27589006
10,0,2.5,0.7,1.8790985
10,0,2.5,1.05,1.43131911
10,0,2.5,1.4,1.320330185
10,25,1.6,0.7,3.697126945
10,25,1.6,1.05,6.04913388
10,25,1.6,1.4,4.04881531
10,25,1.8,0.7,6.947829155
10,25,1.8,1.05,7.81723548
10,25,1.8,1.4,8.20748261
10,25,2,0.7,11.28420063
10,25,2,1.05,13.41803126
10,25,2,1.4,1.814660625
10,25,2.2,0.7,28.61980338
10,25,2.2,1.05,16.47586264
10,25,2.2,1.4,1.701154805
10,25,2.4,0.7,40.1337563
10,25,2.4,1.05,39.37679974
10,25,2.4,1.4,1.47408317
10,50,1.5,0.7,1.260503925
10,50,1.5,1.05,2.05605895
10,50,1.5,1.4,1.974935335
10,50,1.7,0.7,2.454350585
10,50,1.7,1.05,3.56727412
10,50,1.7,1.4,2.616819025
10,50,1.9,0.7,4.691029555
10,50,1.9,1.05,4.199239655
10,50,1.9,1.4,6.88366734
10,50,2.1,0.7,18.14836186
10,50,2.1,1.05,6.48318302
10,50,2.1,1.4,1.938137185
10,50,2.3,0.7,21.43247518
10,50,2.3,1.05,28.25571177
10,50,2.3,1.4,1.68978614
10,50,2.5,0.7,35.44502725
10,50,2.5,1.05,1.77016859
10,50,2.5,1.4,1.362320765
10,75,1.6,0.7,4.15126126
10,75,1.6,1.05,3.87517276
10,75,1.6,1.4,14.52642432
10,75,1.8,0.7,14.98008309
10,75,1.8,1.05,14.8352227
10,75,1.8,1.4,16.80488933
10,75,2,0.7,21.10158681
10,75,2,1.05,21.2147152
10,75,2,1.4,23.21411872
10,75,2.2,0.7,22.43277946
10,75,2.2,1.05,29.38565798
10,75,2.2,1.4,30.7444312
10,75,2.4,0.7,26.05758587
10,75,2.4,1.05,36.75305072
10,75,2.4,1.4,2.00176375
10,100,1.5,0.7,17.06507599
10,100,1.5,1.05,18.94962245
10,100,1.5,1.4,2.53324977
10,100,1.7,0.7,17.69646839
10,100,1.7,1.05,21.07823388
10,100,1.7,1.4,17.29897621
10,100,1.9,0.7,21.8432857
10,100,1.9,1.05,26.46207417
10,100,1.9,1.4,22.38864355
10,100,2.1,0.7,29.71010653
10,100,2.1,1.05,36.53765208
10,100,2.1,1.4,26.70796294
10,100,2.3,0.7,29.27685436
10,100,2.3,1.05,31.96874948
10,100,2.3,1.4,35.05213832
10,100,2.5,0.7,30.76561245
10,100,2.5,1.05,25.82152161
10,100,2.5,1.4,1.886956525
10,125,1.6,0.7,11.89656028
10,125,1.6,1.05,14.16437352
10,125,1.6,1.4,12.73031194
10,125,1.8,0.7,18.74037221
10,125,1.8,1.05,20.30153969
10,125,1.8,1.4,17.24241632
10,125,2,0.7,27.547945
10,125,2,1.05,30.90801587
10,125,2,1.4,32.79220122
10,125,2.2,0.7,28.65176546
10,125,2.2,1.05,30.12516931
10,125,2.2,1.4,40.38833175
10,125,2.4,0.7,33.29229334
10,125,2.4,1.05,28.87825012
10,125,2.4,1.4,26.01214699
10,150,1.5,0.7,5.07192638
10,150,1.5,1.05,13.95909786
10,150,1.5,1.4,13.76132647
10,150,1.7,0.7,23.06744641
10,150,1.7,1.05,28.86552639
10,150,1.7,1.4,17.14295674
10,150,1.9,0.7,29.77538936
10,150,1.9,1.05,30.79088801
10,150,1.9,1.4,37.60315188
10,150,2.1,0.7,29.89276263
10,150,2.1,1.05,28.74855898
10,150,2.1,1.4,25.49029507
10,150,2.3,0.7,33.5952381
10,150,2.3,1.05,21.73779973
10,150,2.3,1.4,18.34570169
10,150,2.5,0.7,31.77714475
10,150,2.5,1.05,2.180528875
10,150,2.5,1.4,19.60171103
10,175,1.6,0.7,22.24623455
10,175,1.6,1.05,25.81931546
10,175,1.6,1.4,23.0666609
10,175,1.8,0.7,24.879369
10,175,1.8,1.05,28.75976827
10,175,1.8,1.4,39.76854173
10,175,2,0.7,24.75957759
10,175,2,1.05,23.18499775
10,175,2,1.4,20.94242387
10,175,2.2,0.7,26.75827735
10,175,2.2,1.05,21.54047674
10,175,2.2,1.4,14.86050651
10,175,2.4,0.7,28.79159634
10,175,2.4,1.05,16.63769652
10,175,2.4,1.4,1.94975736
10,200,1.5,0.7,26.57207203
10,200,1.5,1.05,30.13790411
10,200,1.5,1.4,32.46480467
10,200,1.7,0.7,25.74684893
10,200,1.7,1.05,23.47800227
10,200,1.7,1.4,48.06433862
10,200,1.9,0.7,26.99685194
10,200,1.9,1.05,21.68353378
10,200,1.9,1.4,20.33871995
10,200,2.1,0.7,30.02929235
10,200,2.1,1.05,20.59749653
10,200,2.1,1.4,17.54910594
10,200,2.3,0.7,33.18631766
10,200,2.3,1.05,19.73466771
10,200,2.3,1.4,1.543837075
10,200,2.5,0.7,32.53028312
10,200,2.5,1.05,14.83241934
10,200,2.5,1.4,2.119129425
12,0,1.5,0.7,2.710077215
12,0,1.5,1.05,3.382610125
12,0,1.5,1.4,1.879645105
12,0,1.7,0.7,4.848634005
12,0,1.7,1.05,2.042897735
12,0,1.7,1.4,1.614795695
12,0,1.9,0.7,5.787094095
12,0,1.9,1.05,1.45487696
12,0,1.9,1.4,1.37488409
12,0,2.1,0.7,2.53720665
12,0,2.1,1.05,1.54752002
12,0,2.1,1.4,1.268136685
12,0,2.3,0.7,1.596147205
12,0,2.3,1.05,1.311584905
12,0,2.3,1.4,1.538662875
12,0,2.5,0.7,1.600953855
12,0,2.5,1.05,1.140192515
12,0,2.5,1.4,1.094330115
12,25,1.6,0.7,3.283366465
12,25,1.6,1.05,3.947534815
12,25,1.6,1.4,4.05098771
12,25,1.8,0.7,21.23499458
12,25,1.8,1.05,6.942361015
12,25,1.8,1.4,1.79896845
12,25,2,0.7,29.74137126
12,25,2,1.05,19.94002746
12,25,2,1.4,1.476944155
12,25,2.2,0.7,46.13158384
12,25,2.2,1.05,1.484047405
12,25,2.2,1.4,1.277472645
12,25,2.4,0.7,50.29350783
12,25,2.4,1.05,1.366536405
12,25,2.4,1.4,1.221183055
12,50,1.5,0.7,3.0627593
12,50,1.5,1.05,2.44075017
12,50,1.5,1.4,3.972113785
12,50,1.7,0.7,3.64365483
12,50,1.7,1.05,13.44766539
12,50,1.7,1.4,4.728461135
12,50,1.9,0.7,20.98779674
12,50,1.9,1.05,22.76612895
12,50,1.9,1.4,6.8981237
12,50,2.1,0.7,30.82322728
12,50,2.1,1.05,27.90628977
12,50,2.1,1.4,1.4467511
12,50,2.3,0.7,33.47814198
12,50,2.3,1.05,2.69682508
12,50,2.3,1.4,1.35477584
12,50,2.5,0.7,35.85667806
12,50,2.5,1.05,1.36576364
12,50,2.5,1.4,1.24842055
12,75,1.6,0.7,16.22990609
12,75,1.6,1.05,17.18445948
12,75,1.6,1.4,12.94250759
12,75,1.8,0.7,18.88295428
12,75,1.8,1.05,22.02190688
12,75,1.8,1.4,16.51580642
12,75,2,0.7,21.58189617
12,75,2,1.05,32.22906249
12,75,2,1.4,2.467981245
12,75,2.2,0.7,35.79146501
12,75,2.2,1.05,40.86827958
12,75,2.2,1.4,1.49421229
12,75,2.4,0.7,43.14528141
12,75,2.4,1.05,46.92091161
12,75,2.4,1.4,1.48225321
12,100,1.5,0.7,14.69444426
12,100,1.5,1.05,11.49054846
12,100,1.5,1.4,10.61172675
12,100,1.7,0.7,18.05369099
12,100,1.7,1.05,19.5094086
12,100,1.7,1.4,16.65803788
12,100,1.9,0.7,30.06304252
12,100,1.9,1.05,32.71835599
12,100,1.9,1.4,20.96172303
12,100,2.1,0.7,40.47378346
12,100,2.1,1.05,42.67655245
12,100,2.1,1.4,2.02024529
12,100,2.3,0.7,40.29737022
12,100,2.3,1.05,34.28081129
12,100,2.3,1.4,2.70949508
12,100,2.5,0.7,40.6362777
12,100,2.5,1.05,1.86482408
12,100,2.5,1.4,1.36719433
12,125,1.6,0.7,15.60811198
12,125,1.6,1.05,20.18824631
12,125,1.6,1.4,16.34644991
12,125,1.8,0.7,31.44584563
12,125,1.8,1.05,32.27993772
12,125,1.8,1.4,28.35393028
12,125,2,0.7,32.82589566
12,125,2,1.05,36.33068406
12,125,2,1.4,41.07478159
12,125,2.2,0.7,34.05089677
12,125,2.2,1.05,25.4602824
12,125,2.2,1.4,1.754954565
12,125,2.4,0.7,35.46253183
12,125,2.4,1.05,24.91308985
12,125,2.4,1.4,1.78455199
12,150,1.5,0.7,20.09582272
12,150,1.5,1.05,24.73057766
12,150,1.5,1.4,21.53784942
12,150,1.7,0.7,29.63537291
12,150,1.7,1.05,35.66341558
12,150,1.7,1.4,34.86198284
12,150,1.9,0.7,30.62289498
12,150,1.9,1.05,29.48954875
12,150,1.9,1.4,49.25078791
12,150,2.1,0.7,30.30987612
12,150,2.1,1.05,22.4073812
12,150,2.1,1.4,1.83697897
12,150,2.3,0.7,32.24994845
12,150,2.3,1.05,1.85980549
12,150,2.3,1.4,2.899684285
12,150,2.5,0.7,32.54542221
12,150,2.5,1.05,1.556686305
12,150,2.5,1.4,1.67768615
12,175,1.6,0.7,29.88577368
12,175,1.6,1.05,34.00182953
12,175,1.6,1.4,43.47975901
12,175,1.8,0.7,28.4906872
12,175,1.8,1.05,23.88152443
12,175,1.8,1.4,17.40448202
12,175,2,0.7,29.69113837
12,175,2,1.05,20.3410298
12,175,2,1.4,1.767964575
12,175,2.2,0.7,32.58077756
12,175,2.2,1.05,1.811359785
12,175,2.2,1.4,1.856395865
12,175,2.4,0.7,34.33571139
12,175,2.4,1.05,2.732696605
12,175,2.4,1.4,1.257684545
12,200,1.5,0.7,41.03767786
12,200,1.5,1.05,36.26267399
12,200,1.5,1.4,41.56020183
12,200,1.7,0.7,29.52654878
12,200,1.7,1.05,22.87250266
12,200,1.7,1.4,22.98706561
12,200,1.9,0.7,29.24994097
12,200,1.9,1.05,15.20724601
12,200,1.9,1.4,1.7438969
12,200,2.1,0.7,32.12768047
12,200,2.1,1.05,1.857889805
12,200,2.1,1.4,1.8860728
12,200,2.3,0.7,41.87429944
12,200,2.3,1.05,1.331659865
12,200,2.3,1.4,1.578600555
12,200,2.5,0.7,2.029597225
