formula,target
Ac1H2,30.9154
Ag1Al1O2,34.2327
Ag1Al1O2,49.2211
Ag1Al1S2,32.5879
Ag1Al1Se2,17.6489
Ag1Al1Te2,15.4393
Ag1As1Ba1,28.3141
Ag1As1Ca1,36.0368
Ag1As1S1,12.3086
Ag1As1Sr1,30.4051
Ag1Au1F4,12.2222
Ag1Au1Zn2,25.9944
Ag1Ba1P1,31.0349
Ag1Ba1,10.9346
Ag1Be2,82.9779
Ag1Bi1Ca1,21.138
Ag1Bi1Ca1,19.2232
Ag1Bi1K2,8.33897
Ag1Bi1Li2,13.9659
Ag1Bi1Yb1,20.7652
Ag1Br1,9.78566
Ag1Br1,11.0564
Ag1Br1,10.9116
Ag1Br2Cs1,6.44948
Ag1C1,13.0009
Ag1C2K1,13.3219
Ag1C2Li1,17.0545
Ag1Ca1P1,40.6839
Ag1Ca1Sb1,25.9516
Ag1Ca1,13.0578
Ag1Cd1Sb1,5.16666
Ag1Cd1,13.1851
Ag1Cl1,10.3327
Ag1Cl1,10.3287
Ag1Co1O2,44.5326
Ag1Cr2Te4,4.87635
Ag1Cu4Dy1,15.4923
Ag1Cu4Er1,20.4985
Ag1Cu4Nd1,29.511
Ag1Cu4Tb1,27.5078
Ag1Cu4U1,27.8055
Ag1Cu4Yb1,24.3509
Ag1Dy1Ge1,50.2931
Ag1Dy1Mg1,13.7627
Ag1Dy1Pb1,33.5023
Ag1Dy1Se2,21.5605
Ag1Dy1Se2,20.1899
Ag1Dy1Si1,53.9999
Ag1Dy1Sn1,39.1573
Ag1Dy1Te2,20.3957
Ag1Dy1,26.7189
Ag1Er1Ge1,51.3682
Ag1Er1Ge1,21.0479
Ag1Er1S2,26.8156
Ag1Er1Se2,22.3381
Ag1Er1Si1,56.2685
Ag1Er1Sn1,38.5785
Ag1Er1Sn1,36.9027
Ag1Er1,28.3288
Ag1F1,7.189210000000001
Ag1F3K1,14.4963
Ag1F3Rb1,17.2245
Ag1F3Zn1,31.821
Ag1Ga1O2,38.1351
Ag1Ga1S2,21.4874
Ag1Ga1Te2,16.0253
Ag1Ga1,14.2609
Ag1Gd1,17.8841
Ag1Ge1La1,38.3618
Ag1Ge1Tb1,21.6575
Ag1Hf1,41.2012
Ag1Hf2,48.3343
Ag1Ho1Pb1,32.9778
Ag1Ho1Se2,22.1645
Ag1Ho1Sn1,38.7516
Ag1Ho1,27.4957
Ag1I1,5.08336
Ag1I1,4.23405
Ag1I1,11.2584
Ag1In1O2,26.6377
Ag1In1S2,15.9626
Ag1In1Te2,12.7351
Ag1In2Na3,9.28715
Ag1In5Se8,13.1466
Ag1In5Te8,11.8548
Ag1K1O1,12.2646
Ag1La1Mg1,13.451
Ag1La1Pb1,31.4848
Ag1La1,11.753
Ag1La1,12.6245
Ag1Li1,11.7594
Ag1Li1,14.9382
Ag1Li2Sb1,19.1983
Ag1Mg1Sb1,13.5164
Ag1Mg1Y1,14.3676
Ag1Mg1,22.5797
Ag1Mn3N1,29.2627
Ag1N1,31.6582
Ag1Na1O1,24.1056
Ag1Nb1O3,88.9325
Ag1O1Rb1,10.1089
Ag1O2Sc1,30.8939
Ag1O2Y1,28.4199
Ag1O3Sb1,67.0471
Ag1P1Pd5,40.3004
Ag1P1Pt5,44.2714
Ag1P1Sr1,33.8513
Ag1Pb1Tb1,34.0086
Ag1Pb1Y1,32.6568
Ag1Pd3Se1,22.6436
Ag1Pt3,54.1644
Ag1Pt5Si1,54.0228
Ag1S3Ta1,34.0264
Ag1S3Ta1,32.9161
Ag1Sb3Zr5,59.99100000000001
Ag1Sc1,31.2594
Ag1Se1Tl1,11.5694
Ag1Si1Y1,53.833
Ag1Sn1Tb1,39.1718
Ag1Sr1,13.5338
Ag1Tb1,24.7684
Ag1Te1Tl1,10.6828
Ag1Te2Y1,19.4934
Ag1Th2,18.3489
Ag1Ti1,44.4517
Ag1Ti2,52.3196
Ag1Y1,34.2674
Ag1Yb1,8.55208
Ag1Zn1,18.4212
Ag1Zr1,39.8318
Ag1Zr2,34.2884
Ag1,23.7034
Ag2Al1Sc1,23.3542
Ag2Ba1Sn2,21.6225
Ag2Ba1Te2,13.6307
Ag2Ba1,14.1632
Ag2Ca1Ge2,25.6591
Ag2Ca1,14.6922
Ag2Dy1In1,20.1257
Ag2Dy1,24.3425
Ag2Er1In1,18.0475
Ag2Er1,27.5565
Ag2Ge1Li1,21.5575
Ag2Hg1I4,4.71106
Ag2Ho1In1,19.0459
Ag2Ho1,25.2027
Ag2In1La1,17.1599
Ag2In1Li1,14.8995
Ag2In1Mg1,21.7626
Ag2In1Sc1,17.5095
Ag2In1Tb1,21.3448
Ag2In1Y1,19.4227
Ag2La1Si2,52.9965
Ag2Li1Sn1,17.5022
Ag2Mo1O4,16.562
Ag2Na1,15.9328
Ag2O1,1.37277
Ag2S1,13.3255
Ag2S1,13.6319
Ag2Sc1,32.1643
Ag2Si2Sr1,39.0043
Ag2Si2Tb1,52.6362
Ag2Si2Yb1,36.5036
Ag2Sn2Sr1,18.1047
Ag2Sr1,16.1931
Ag2Tb1,22.0175
Ag2Th1,31.3596
Ag2Y1,25.7118
Ag2Yb1,15.5651
Ag3As1O4,16.2035
Ag3I1S1,8.55519
Ag3Na1S2,10.4381
Ag3O4P1,19.0541
Ag3P1S4,12.5931
Ag3Pt1,28.622
Ag5O6Pb2,14.9811
Ag5S4Sb1,11.7082
Ag8Ca19N7,20.849
Ag8Ca3,15.4785
Ag9In4,30.6145
Al0.4C0.2Mo0.6,66.4698
Al0.4C0.2Nb0.6,115.272
Al0.4C0.2Ta0.6,118.018
Al10V1,39.6493
Al16Hf6Os7,67.8841
Al16Hf6Pd7,77.5928
Al16Hf6Pt7,82.5195
Al16Hf6Rh7,59.383
Al16Ir7Sc6,72.7309
Al16Ni7Sc6,66.7567
Al16Os7Sc6,77.994
Al16Os7Zr6,67.4341
Al16Pd7Sc6,52.2526
Al16Pd7Ti6,69.695
Al16Pd7Zr6,80.1209
Al16Pt7Ti6,72.399
Al16Pt7Zr6,83.1316
Al16Rh7Sc6,65.8812
Al16Ru7Sc6,67.0049
Al16Ru7Zr6,56.688
Al18Cr2Mg3,52.9134
Al18Mg3Mn2,25.3083
Al18Mg3Mo2,52.6787
Al18Mg3Ta2,50.6731
Al18Mg3Ti2,45.1957
Al18Mg3V2,54.8405
Al18Mg3W2,59.4127
Al1As1,38.9599
Al1Au1Ca1,25.7851
Al1Au1Dy1,39.96
Al1Au1Er1,41.581
Al1Au1O2,68.0651
Al1Au1Y1,42.7155
Al1Au1Yb1,26.9018
Al1Au2Hf1,23.9681
Al1Au2Mn1,27.3675
Al1Au2Sc1,16.8456
Al1Au2Ti1,21.1276
Al1Au2,30.1104
Al1Au2,23.4401
Al1B1Be1,133.614
Al1Ba1Ge1,34.2148
Al1Ba1Si1,37.7146
Al1Bi1O3,115.826
Al1Bi1,22.6761
Al1C1Co3,83.08200000000001
Al1C1Dy3,58.4699
Al1C1Er3,65.4864
Al1C1Er3,15.383
Al1C1Gd3,51.6828
Al1C1Ho3,61.4448
Al1C1La3,33.187
Al1C1Sc3,80.5124
Al1C1Tb3,57.7903
Al1C1Tb3,11.9888
Al1C1Ti2,113.383
Al1C1Ti3,88.5194
Al1C1V2,116.886
Al1C1Y3,62.0334
Al1C1Zr2,92.473
Al1C3Nb4,147.60299999999998
Al1C3Ta4,132.64700000000002
Al1C3V4,152.748
Al1Ca1Si1,39.781
Al1Ca1Si1,38.7336
Al1Ca1Si1,39.3864
Al1Ca3Sb3,23.3542
Al1Cl4Cu1,6.49342
Al1Co2Hf1,70.9509
Al1Co2Mn1,56.59
Al1Co2Nb1,87.4073
Al1Co2Ta1,96.9437
Al1Co2Ti1,76.2483
Al1Cr1Cu2,37.6162
Al1Cr2,93.1331
Al1Cu1Er1,42.9259
Al1Cu1O2,75.874
Al1Cu1Ti2,40.6606
Al1Cu2Hf1,52.4532
Al1Cu2Re2,85.3648
Al1Cu2Sc1,45.0092
Al1Cu2Ti1,53.151
Al1Cu2Zr1,50.4784
Al1Dy1Ni1,34.4264
Al1Dy1Zn1,52.1736
Al1Dy1,35.23
Al1Dy3N1,66.6728
Al1Er1Ni1,41.6375
Al1Er1Pd1,35.1179
Al1Er1Zn1,50.5482
Al1Er1,43.4052
Al1Er2,32.9999
Al1Er3N1,71.142
Al1F3,76.3058
Al1F4Na1,40.6116
Al1F4Rb1,26.9955
Al1F5K2,14.0714
Al1F6K3,13.1563
Al1Fe2V1,158.231
Al1Gd1O3,109.83
Al1Ge1Li1,52.4666
Al1Ge1Sc1,50.8302
Al1Ge1Sr1,34.8867
Al1Ge1Y1,55.5097
Al1H3,32.6478
Al1H4Na1,22.7498
Al1H4Th2,52.8914
Al1Hf1Ni2,35.7486
Al1Hf1Pd2,13.3644
Al1Hf1Pt1,69.2615
Al1Hf1,74.6765
Al1Hf2,52.8378
Al1Ho1Ni1,40.2984
Al1Ho2,31.4079
Al1Ho3N1,69.4905
Al1Ir1Th1,44.0084
Al1Ir1,119.654
Al1K1O2,38.3929
Al1K1Te2,11.7749
Al1La1O3,130.07299999999998
Al1La1,33.7241
Al1La3N1,42.582
Al1La3,16.4821
Al1La3,15.8614
Al1Li1O2,52.0525
Al1Li1Si1,55.4704
Al1Li1Te2,13.8082
Al1Li1,30.7801
Al1Li1,33.7012
Al1Li2Pd1,26.0476
Al1Li2Pt1,36.9064
Al1Li2Rh1,35.0487
Al1Li5O4,51.77
Al1Lu3N1,98.1564
Al1Mg1Y1,44.7103
Al1Mg3Pt2,44.398
Al1Mn1Ni2,59.9223
Al1Mn1Pd2,33.5524
Al1Mn1Pt1,54.7774
Al1Mn1Rh2,84.4098
Al1Mn1Ti2,28.7437
Al1Mo3,113.908
Al1N1Tb3,65.2431
Al1N1Zr2,88.7348
Al1N1Zr3,89.6327
Al1N1,213.815
Al1N1,122.203
Al1N1,121.954
Al1N1,121.409
Al1N1,118.837
Al1N3Ta4,104.093
Al1N3V4,106.455
Al1Nb1Ru2,130.33
Al1Ni1,77.8808
Al1Ni2V1,59.2787
Al1Ni3,56.06100000000001
Al1O2Rb1,42.756
Al1O3Y1,111.946
Al1O3Y1,83.0635
Al1O4P1,39.4099
Al1Os1,113.239
Al1P1,46.3929
Al1P1,45.9054
Al1Pd1Tb1,24.1416
Al1Pd1Tb1,30.7014
Al1Pd1Th1,28.3812
Al1Pd1Y1,30.5127
Al1Pd1Y1,28.1938
Al1Pd1,51.2341
Al1Pd1,61.5123
Al1Pd5,46.2551
Al1Pt1Th1,38.7143
Al1Pt1Ti1,57.1209
Al1Pt1Zr1,61.1141
Al1Pt1Zr1,46.9857
Al1Pt1,42.1388
Al1Pt1,74.859
Al1Pt2,59.3576
Al1Pt3,70.7868
Al1Pt3,68.2604
Al1Re1,51.2276
Al1Re2,137.619
Al1Rh1Th1,38.943000000000005
Al1Rh1,105.15
Al1Ru1,96.6456
Al1Sb1,30.7103
Al1Sc1,35.7872
Al1Sc2Si2,68.0774
Al1Sc2,45.0131
Al1Se2Tl1,14.2197
Al1Si1Sr1,39.1042
Al1Si1Y1,63.1812
Al1Sn3Zr5,64.4177
Al1Ta2,55.4775
Al1Tb1,34.7501
Al1Tb1,41.861
Al1Tb2,28.4362
Al1Tb3,30.0666
Al1Tc2,112.034
Al1Th1,40.7361
Al1Ti1Zr2,36.5249
Al1Ti1,66.6863
Al1Ti3,64.3718
Al1Y1Zn1,55.0322
Al1Y1,35.1237
Al1Y1,35.8292
Al1Y2,29.7262
Al1Y3,31.389
Al1Zr1,67.3865
Al1Zr2,40.8237
Al1Zr2,54.3468
Al1Zr3,56.7269
Al20La1Ti2,53.7629
Al20La1V2,54.7887
Al20Pr1V2,61.0969
Al20Ti2Yb1,52.7427
Al2Au1,31.4044
Al2Au2Dy1,37.7841
Al2Au2Sr1,27.4135
Al2Au2Th1,51.219
Al2B1Re3,86.5471
Al2B2Ru3,98.1855
Al2Ba1Ge2,32.6236
Al2Ba1Si2,25.1737
Al2Ba1Si2,35.8531
Al2Ba1,31.4109
Al2C3Th2,92.0811
Al2Ca1,43.1928
Al2Cd1O4,68.9282
Al2Cd1Se4,26.1026
Al2Cd1Te4,15.7338
Al2Co1O4,93.6272
Al2Co1Y1,44.5518
Al2Co1Zr6,53.1622
Al2Cu1Mg1,47.065
Al2Dy1,57.9259
Al2Dy3,30.8928
Al2Er1Ni1,51.5808
Al2Er1,60.605
Al2Er3,36.1772
Al2Fe1Zr6,48.5531
Al2Fe3Si4,108.937
Al2Ge1La2,45.1408
Al2Hf1,86.6593
Al2Hf3,61.8446
Al2Hf6Pt1,63.4816
Al2Hg1S4,22.2437
Al2Hg1S4,32.825
Al2Hg1Se4,24.4762
Al2Hg1Te4,15.8941
Al2Ho1,59.3047
Al2Ho3,34.0672
Al2I1La2,32.9624
Al2Ir1Li1,61.6907
Al2La1,45.2709
Al2La5Ru3,27.8653
Al2Li1Pt1,63.3948
Al2Li1Rh1,59.0132
Al2Mg1O4,98.1655
Al2Mg1O4,116.601
Al2Mg1,19.0372
Al2Mn1S4,33.7917
Al2N1Nb3,115.382
Al2Ni1Y1,52.8463
Al2Ni1Zr6,51.8881
Al2O3,146.201
Al2O4Zn1,109.007
Al2O5Si1,89.04299999999999
Al2O5Si1,115.807
Al2Os1,144.967
Al2Pb1S4,20.6539
Al2Pd1,31.5375
Al2Pd5U1,47.1458
Al2Pd5Y1,56.9606
Al2Pt1,31.4481
Al2Ru1,104.706
Al2Ru1,127.387
Al2S4Sr1,21.5553
Al2S4Zn1,46.6202
Al2Sc1,66.5687
Al2Se4Sr1,18.2694
Al2Se4Zn1,34.9151
Al2Sr1,36.7942
Al2Tb1,56.8041
Al2Tb3,29.2788
Al2Te4Zn1,19.1892
Al2Th1,60.6511
Al2Th1,44.9052
Al2Th3,27.1579
Al2Y1,60.878
Al2Y3,34.7055
Al2Yb1,43.146
Al2Zr1,86.0324
Al2Zr1,86.49600000000001
Al2Zr1,86.3684
Al2Zr1,86.5333
Al2Zr3,54.5936
Al3B2Ru4,110.769
Al3B6Ni20,81.1813
Al3C1Zr5,66.3827
Al3C3Dy1,136.934
Al3C3Er1,138.863
Al3C3Gd1,131.511
Al3C3Ho1,137.847
Al3C3Sc1,137.85
Al3C3Tb1,135.15
Al3C3Y1,135.287
Al3C4Hf2,156.059
Al3C4Zr2,148.935
Al3Dy1,57.6368
Al3Dy1,48.4342
Al3Dy1,60.8933
Al3Er1Ni2,70.9294
Al3Er1,61.7631
Al3Hf1,79.717
Al3Hf1,84.5204
Al3Hf4,86.4651
Al3Hf5N1,56.9549
Al3Ho1,61.44
Al3Ir1,44.8847
Al3Ir1,69.6397
Al3La1Pd2,49.6809
Al3Li1,41.3042
Al3Nb1,103.346
Al3Ni1,66.3202
Al3Ni2Th1,67.8319
Al3Ni2,84.4965
Al3Os1U2,59.1016
Al3Os2,120.215
Al3Pr1,61.9775
Al3Pt5,57.5654
Al3Ru2,70.9047
Al3Sc1,60.6497
Al3Sc1,59.2489
Al3Ta1,98.1166
Al3Th1,41.4406
Al3Ti1,51.4369
Al3U1,60.8111
Al3V1,97.4769
Al3Y1,59.5354
Al3Yb1,53.5418
Al3Zr1,83.6622
Al3Zr1,53.6974
Al3Zr4,79.7546
Al4Ba1,31.3634
Al4C1O4,67.3448
Al4C4Si1,66.5837
Al4C4Th1,99.7216
Al4Ce1Ni1,66.3167
Al4Co1La1,59.6701
Al4Cu9,45.0751
Al4Er1Ni1,60.82899999999999
Al4In3Sr11,14.2046
Al4La1,25.0327
Al4Ni1Tb1,60.231
Al4Ni3,86.1635
Al4Zr5,46.06100000000001
Al5Ba5Sn1,16.9659
Al5C3N1,112.236
Al5C3N1,113.149
Al5W1,95.1584
Al6Mn1,64.8827
Al6Re1,71.1316
Al6Tc1,71.1338
Al7Cu16Yb6,37.6697
Al7Cu16Zr6,69.4182
Al7Th2,51.403
Al8Dy1Mn4,88.9763
Al8Er1Mn4,90.1867
Al8Fe4La1,48.591
Al8Fe4Y1,39.8976
Al8Mo3,103.262
Al9Ba1Co2,63.3263
Al9Ba1Ni2,47.7773
Al9Co2Sr1,64.2909
As12Os4Th1,91.6409
As1Au1Ba1,30.2616
As1Au1Ca1,28.6543
As1B1,124.448
As1B2P1,141.984
As1Ba1Cu1,34.2332
As1Ba1Li1,22.9624
As1Ba1Pd1,23.4753
As1Ba1Pt1,23.1446
As1Be1Na1,33.7987
As1Bi1O4,38.6177
As1Br3Ca3,22.4937
As1C1Nb2,118.741
As1C1V3,66.7581
As1Ca1Rb1,10.7912
As1Ca2,29.8489
As1Ca3Cl3,25.198
As1Ca3N1,51.8255
As1Ca3N1,45.0625
As1Cd1K1,17.3694
As1Cd1Li1,30.1033
As1Cd1Li1,2.73508
As1Cd1Pd5,44.8511
As1Cd1Pt5,56.2765
As1Co1Nb1,84.6671
As1Co1S1,99.2889
As1Co1S1,99.5404
As1Cr1Ni1,63.6009
As1Cr1,44.7282
As1Cu1K2,10.5362
As1Cu1S1,27.571
As1Cu1Sr1,40.7894
As1Cu3S4,25.8549
As1Cu3,37.4389
As1Dy1O4,56.0443
As1Dy1Pd1,51.6086
As1Dy1,50.6182
As1Er1Pt1,48.479
As1Er1,52.059
As1F6Na1,8.79376
As1Fe1Li1,47.8561
As1Fe1Li1,82.0465
As1Fe1Nb1,56.7259
As1Ga1,40.8123
As1Ga1,41.2214
As1Ga1,25.2336
As1Ga1,40.8343
As1Gd1,48.3711
As1Ge1,37.0892
As1Hf1Ru1,81.9486
As1Hf1,61.4513
As1Hg1K1,14.6855
As1Hg1Pd5,37.4675
As1Ho1,51.3318
As1In1Pt5,64.0018
As1In1,25.7349
As1In1,25.7024
As1In1,26.1537
As1K1Mg1,18.8445
As1K1Zn1,21.0241
As1K3S3,7.83553
As1K3Se3,7.069439999999999
As1La1Te1,34.8096
As1La1,40.7637
As1Li1Mg1,37.6606
As1Li1Zn1,42.953
As1Mg1Na1,19.8993
As1Mg1Pt5,68.4803
As1Mn1Pd2,22.3304
As1Mn1Ru1,63.7991
As1Na1Sr1,26.1878
As1Na1,26.1547
As1Na3S3,11.7232
As1Na3Se3,9.62502
As1Na3,14.6404
As1Na3,13.3045
As1Nb1Ni1,75.1961
As1Nb1,85.8105
As1Nb3Te3,46.7455
As1Nd1,43.4134
As1Ni1S1,54.6779
As1Ni1Se1,50.9293
As1Ni1,48.5739
As1O4Sc1,66.9593
As1O4Tb1,54.5138
As1Pa1,57.5952
As1Pb3Zr5,62.9127
As1Pd1Se1,31.3047
As1Pd1Sr1,26.8249
As1Pd1Tb1,51.3134
As1Pd2,32.2073
As1Pd5Sb1,17.2724
As1Pd5Tl1,46.99
As1Pt1Sr1,28.2467
As1Pt5Tl1,50.7645
As1Pt5Zn1,65.8464
As1Pu1,17.994
As1Pu1,45.2569
As1Rb3Se16,3.86183
As1Rh1Ti1,74.0194
As1Rh2,74.0754
As1Rh2,49.6106
As1Ru1Zr1,84.1715
As1Sb3Zr5,56.5355
As1Sc1,51.8482
As1Sn1,35.1129
As1Sr1,23.7469
As1Sr2,22.207
As1Tb1,49.9182
As1Te1,24.3896
As1Th1,33.6208
As1Th1,39.1055
As1Ti1,57.5637
As1Ti3,49.0941
As1Tl1,18.7576
As1U1,9.18979
As1V3,100.619
As1Y1,49.6308
As1Zn1,37.3445
As1Zr1,64.9747
As1Zr1,56.2099
As1,29.0961
As2Ba1Cu2,26.2641
As2Ba1Ge2,26.9894
As2Ba1Pd2,35.9495
As2Ba1Rh2,42.2167
As2Ba1Ru2,41.1028
As2Ba1Zn2,31.1862
As2Ba1Zn2,26.217
As2Ba2Cd1,20.153
As2Ca1Cd2,30.6587
As2Ca1Fe2,65.8442
As2Ca1Mg2,36.2179
As2Ca1Pd2,27.0643
As2Ca1Ru2,57.4819
As2Ca2Cd1,26.5522
As2Cd1Si1,30.7442
As2Cd1Sr2,24.1197
As2Cd1,18.6175
As2Cd3,14.4643
As2Co1,87.5661
As2Cs1Rh2,32.087
As2Cu1Er1,55.5383
As2Cu1Y1,53.9374
As2Dy2Ni1,50.5918
As2Er1Ni4,61.3166
As2Ge1Mg1,25.6439
As2Ge1Zn1,37.239
As2Ge1Zn1,37.311
As2Hf1,75.7912
As2Hf3,66.15100000000001
As2Hg1O6,38.7526
As2Ho2Ni1,50.0044
As2Ir2La1,64.2912
As2K2Ni1,12.1975
As2La1Ni2,59.7709
As2La1Rh2,54.3276
As2Mg3,32.1617
As2Mg3,26.635
As2Mg3,27.2856
As2Ni1Tb2,50.3019
As2Ni1U1,54.8241
As2Ni1,47.5362
As2Ni1,46.2535
As2Ni2U1,48.9915
As2O3,5.17245
As2O6Sr1,56.1952
As2Os1,119.299
As2Pd1,42.6853
As2Pt1,81.858
As2Rh2Sr1,25.6896
As2Ru1,105.182
As2Ru2Sr1,45.8662
As2Sc3,51.5402
As2Si1,43.3862
As2Sn1Zn1,29.8945
As2Th1,49.0473
As2Zn3,25.4014
As2Zr1,71.7084
As2Zr1,32.2965
As2Zr3,61.961000000000006
As3Co1,81.6127
As3Co1,81.4043
As3Co1,81.638
As3Co1,81.7741
As3Co1,81.7529
As3Co1,81.6127
As3Co1,81.4805
As3Ir1,84.4634
As3Ir1,84.4788
As3Ir1,84.4634
As3La4,30.488000000000003
As3Rh1,70.8902
As3Rh1,71.0397
As3V5,80.6824
As3Yb4,26.6923
As4Ca3In2,27.8566
As4Ge3,29.1186
As4Mg1,25.5644
As4Mo5,85.2055
As4Mo5,88.2622
As4Na8Ti1,13.277
As4O6,6.74
As4Pa3,55.2665
As4Sn3,19.7683
As4Th3,51.9188
As6Ru7U4,84.6489
As7Ho2Ni12,52.5565
As7Mg6Ni16,53.07
As7Re3,79.0975
Au1Ba1P1,32.7796
Au1Ba1Sb1,26.4373
Au1Ba1,13.9001
Au1Be5,117.844
Au1Bi1Ca1,21.5896
Au1Bi1Li2,10.4285
Au1C2Cs1,12.7099
Au1C2K1,16.6129
Au1C2Li1,22.9718
Au1C2Rb1,14.7529
Au1Ca1Cd1,18.1179
Au1Ca1Ga1,24.4339
Au1Ca1In1,18.774
Au1Ca1In2,26.9035
Au1Ca1P1,34.3122
Au1Ca1Sb1,22.7214
Au1Ca1,16.179000000000002
Au1Ca2N1,30.1224
Au1Ca3N1,30.8296
Au1Ca3,10.5154
Au1Cd1La1,16.4012
Au1Cd1Sb1,11.9432
Au1Cd1Yb1,17.6688
Au1Cd1,13.6564
Au1Cd1,16.7126
Au1Cl3Cs1,11.7102
Au1Cs1,7.06757
Au1Cu3,48.9293
Au1Cu4Dy1,22.1162
Au1Cu4Tb1,15.8928
Au1Dy1Ge1,44.4089
Au1Dy1In1,39.035
Au1Dy1Pb1,30.5857
Au1Dy1Sn1,40.8505
Au1Dy1Sn1,33.5142
Au1Dy1,29.6842
Au1Dy2,19.5814
Au1Er1In1,39.3722
Au1Er1Ni4,70.8077
Au1Er1Pb1,30.9018
Au1Er1Sn1,40.202
Au1Er1Sn1,35.7198
Au1Er1,32.1915
Au1Er2,20.7146
Au1F4K1,9.99142
Au1Ga1O2,53.625
Au1Ga1Zr1,55.264
Au1Ga2,16.3916
Au1Gd1,23.8621
Au1Gd1,16.3932
Au1Ge1Ho1,29.2195
Au1Ge1Sc1,41.5669
Au1Ge1Tb1,45.3499
Au1Ge1Y1,44.2439
Au1Ge4Rb3,9.10504
Au1H3Ti3,68.2139
Au1Hf1,58.1804
Au1Hf2,55.6611
Au1Ho1In1,38.96
Au1Ho1Ni4,66.1587
Au1Ho1Pb1,30.4586
Au1Ho1Sn1,40.4423
Au1Ho1Sn1,34.5292
Au1Ho1Sn1,32.6497
Au1Ho1,31.253
Au1Ho2,19.6498
Au1In1La1,27.1577
Au1In1Li2,18.9376
Au1In1O2,34.6362
Au1In1Tb1,38.5522
Au1In1Y1,40.3792
Au1In1Yb1,21.7913
Au1In2Na3,8.23354
Au1In2,19.7371
Au1K1Se1,6.43667
Au1K1Se2,9.34114
Au1K1Te1,13.8933
Au1K3O1,11.7236
Au1La1O3,46.8393
Au1La1Pb1,31.7775
Au1La1,11.3888
Au1La1,18.5581
Au1La2,12.9226
Au1Li1Sb1,3.7784
Au1Li2Sb1,19.6196
Au1Li2Sn1,19.542
Au1Li2Tl1,10.3824
Au1Li3,8.6145
Au1Lu1Sn1,36.7443
Au1Mg1Sn1,27.5993
Au1Mg1Yb1,18.6371
Au1Mg1,28.7336
Au1Mn1Sb1,18.2789
Au1Mn1Sn1,18.1898
Au1Mn1,31.0343
Au1Mn2,26.045
Au1Nb3,61.193000000000005
Au1Ni4Tb1,66.1536
Au1O1Rb1,11.1172
Au1O1Rb3,9.45658
Au1O2Rb1,12.4272
Au1O2Sc1,39.4848
Au1O2Y1,28.7946
Au1Pb1Tb1,31.0617
Au1Pb1Y1,30.2521
Au1Pb4Rb3,6.03975
Au1Pd3,48.4436
Au1Rb1Te1,14.1677
Au1Rb1,8.062330000000001
Au1S1Ta5,72.7906
Au1S2V1,48.1316
Au1Sb1Yb1,22.3248
Au1Sb2,19.3861
Au1Sc1Si1,58.3337
Au1Sc1Sn1,35.6477
Au1Sc1Sn1,34.1863
Au1Sc1,41.4191
Au1Si1Th1,61.3441
Au1Si1Y1,36.9997
Au1Sn1Tb1,40.9202
Au1Sn1Tb1,33.8601
Au1Sn1Y1,40.0362
Au1Sn1Y1,32.9891
Au1Sn1,15.5035
Au1Sn4,12.3513
Au1Ta3,59.4105
Au1Tb1,28.2521
Au1Tb2,18.6896
Au1Th1,23.0615
Au1Ti1,41.1534
Au1Ti1,50.6617
